0,1,paths,img_shape
88.jpg,Concrete,./merged_data/train/88.jpg,"(3, 1973, 1027)"
89.jpg,Concrete,./merged_data/train/89.jpg,"(3, 86, 70)"
90.jpg,Adhered,./merged_data/train/90.jpg,"(3, 2384, 1673)"
91.jpg,Adhered,./merged_data/train/91.jpg,"(3, 565, 342)"
92.jpg,Adhered,./merged_data/train/92.jpg,"(3, 1241, 993)"
93.jpg,Adhered,./merged_data/train/93.jpg,"(3, 1072, 853)"
94.jpg,Adhered,./merged_data/train/94.jpg,"(3, 479, 383)"
95.jpg,Adhered,./merged_data/train/95.jpg,"(3, 1450, 1490)"
96.jpg,Concrete,./merged_data/train/96.jpg,"(3, 2084, 1739)"
97.jpg,Plastic & fabric,./merged_data/train/97.jpg,"(3, 58, 46)"
98.jpg,Adhered,./merged_data/train/98.jpg,"(3, 65, 57)"
99.jpg,Adhered,./merged_data/train/99.jpg,"(3, 730, 843)"
100.jpg,Adhered,./merged_data/train/100.jpg,"(3, 976, 622)"
101.jpg,Adhered,./merged_data/train/101.jpg,"(3, 93, 84)"
102.jpg,Plastic & fabric,./merged_data/train/102.jpg,"(3, 184, 116)"
103.jpg,Adhered,./merged_data/train/103.jpg,"(3, 180, 125)"
104.jpg,Ballasted,./merged_data/train/104.jpg,"(3, 918, 881)"
105.jpg,Adhered,./merged_data/train/105.jpg,"(3, 991, 1064)"
106.jpg,Adhered,./merged_data/train/106.jpg,"(3, 577, 392)"
107.jpg,Adhered,./merged_data/train/107.jpg,"(3, 114, 49)"
108.jpg,Adhered,./merged_data/train/108.jpg,"(3, 120, 53)"
109.jpg,Adhered,./merged_data/train/109.jpg,"(3, 54, 60)"
110.jpg,Adhered,./merged_data/train/110.jpg,"(3, 392, 192)"
111.jpg,Adhered,./merged_data/train/111.jpg,"(3, 237, 106)"
112.jpg,Adhered,./merged_data/train/112.jpg,"(3, 232, 110)"
113.jpg,Adhered,./merged_data/train/113.jpg,"(3, 786, 502)"
114.jpg,Adhered,./merged_data/train/114.jpg,"(3, 884, 748)"
115.jpg,Ballasted,./merged_data/train/115.jpg,"(3, 539, 405)"
116.jpg,Adhered,./merged_data/train/116.jpg,"(3, 666, 512)"
117.jpg,Adhered,./merged_data/train/117.jpg,"(3, 205, 319)"
118.jpg,Adhered,./merged_data/train/118.jpg,"(3, 919, 515)"
119.jpg,Adhered,./merged_data/train/119.jpg,"(3, 960, 768)"
120.jpg,Adhered,./merged_data/train/120.jpg,"(3, 1313, 1195)"
121.jpg,Adhered,./merged_data/train/121.jpg,"(3, 575, 281)"
122.jpg,Adhered,./merged_data/train/122.jpg,"(3, 496, 416)"
123.jpg,Adhered,./merged_data/train/123.jpg,"(3, 435, 608)"
124.jpg,Adhered,./merged_data/train/124.jpg,"(3, 930, 696)"
125.jpg,Adhered,./merged_data/train/125.jpg,"(3, 714, 510)"
126.jpg,Adhered,./merged_data/train/126.jpg,"(3, 858, 609)"
127.jpg,Adhered,./merged_data/train/127.jpg,"(3, 608, 465)"
128.jpg,Adhered,./merged_data/train/128.jpg,"(3, 832, 617)"
129.jpg,Steel,./merged_data/train/129.jpg,"(3, 321, 320)"
130.jpg,Adhered,./merged_data/train/130.jpg,"(3, 100, 65)"
131.jpg,Adhered,./merged_data/train/131.jpg,"(3, 259, 530)"
132.jpg,Adhered,./merged_data/train/132.jpg,"(3, 409, 249)"
133.jpg,Adhered,./merged_data/train/133.jpg,"(3, 217, 489)"
134.jpg,Adhered,./merged_data/train/134.jpg,"(3, 177, 500)"
135.jpg,Adhered,./merged_data/train/135.jpg,"(3, 400, 312)"
136.jpg,Adhered,./merged_data/train/136.jpg,"(3, 259, 262)"
137.jpg,Adhered,./merged_data/train/137.jpg,"(3, 1124, 789)"
138.jpg,Adhered,./merged_data/train/138.jpg,"(3, 1745, 1009)"
139.jpg,Adhered,./merged_data/train/139.jpg,"(3, 276, 161)"
140.jpg,Adhered,./merged_data/train/140.jpg,"(3, 861, 912)"
141.jpg,Adhered,./merged_data/train/141.jpg,"(3, 586, 236)"
142.jpg,Adhered,./merged_data/train/142.jpg,"(3, 714, 590)"
143.jpg,Adhered,./merged_data/train/143.jpg,"(3, 540, 716)"
144.jpg,Adhered,./merged_data/train/144.jpg,"(3, 472, 226)"
145.jpg,Adhered,./merged_data/train/145.jpg,"(3, 714, 347)"
146.jpg,Adhered,./merged_data/train/146.jpg,"(3, 737, 843)"
147.jpg,Adhered,./merged_data/train/147.jpg,"(3, 692, 390)"
148.jpg,Adhered,./merged_data/train/148.jpg,"(3, 120, 188)"
149.jpg,Adhered,./merged_data/train/149.jpg,"(3, 130, 272)"
150.jpg,Shingle,./merged_data/train/150.jpg,"(3, 316, 416)"
151.jpg,Adhered,./merged_data/train/151.jpg,"(3, 304, 378)"
152.jpg,Adhered,./merged_data/train/152.jpg,"(3, 972, 465)"
153.jpg,Plastic & fabric,./merged_data/train/153.jpg,"(3, 300, 137)"
154.jpg,Adhered,./merged_data/train/154.jpg,"(3, 303, 262)"
155.jpg,Adhered,./merged_data/train/155.jpg,"(3, 886, 675)"
156.jpg,Adhered,./merged_data/train/156.jpg,"(3, 369, 594)"
157.jpg,Adhered,./merged_data/train/157.jpg,"(3, 283, 314)"
158.jpg,Adhered,./merged_data/train/158.jpg,"(3, 46, 77)"
159.jpg,Adhered,./merged_data/train/159.jpg,"(3, 876, 777)"
160.jpg,Adhered,./merged_data/train/160.jpg,"(3, 752, 481)"
161.jpg,Adhered,./merged_data/train/161.jpg,"(3, 640, 526)"
162.jpg,Adhered,./merged_data/train/162.jpg,"(3, 570, 323)"
163.jpg,Adhered,./merged_data/train/163.jpg,"(3, 638, 642)"
164.jpg,Adhered,./merged_data/train/164.jpg,"(3, 91, 78)"
165.jpg,Adhered,./merged_data/train/165.jpg,"(3, 248, 236)"
166.jpg,Adhered,./merged_data/train/166.jpg,"(3, 384, 157)"
167.jpg,Adhered,./merged_data/train/167.jpg,"(3, 462, 363)"
168.jpg,Plastic & fabric,./merged_data/train/168.jpg,"(3, 56, 50)"
169.jpg,Adhered,./merged_data/train/169.jpg,"(3, 392, 148)"
170.jpg,Ballasted,./merged_data/train/170.jpg,"(3, 512, 374)"
171.jpg,Plastic & fabric,./merged_data/train/171.jpg,"(3, 277, 135)"
172.jpg,Concrete,./merged_data/train/172.jpg,"(3, 698, 913)"
173.jpg,Adhered,./merged_data/train/173.jpg,"(3, 341, 313)"
174.jpg,Adhered,./merged_data/train/174.jpg,"(3, 144, 253)"
175.jpg,Adhered,./merged_data/train/175.jpg,"(3, 176, 227)"
176.jpg,Adhered,./merged_data/train/176.jpg,"(3, 552, 908)"
177.jpg,Adhered,./merged_data/train/177.jpg,"(3, 1059, 771)"
178.jpg,Adhered,./merged_data/train/178.jpg,"(3, 94, 81)"
179.jpg,Adhered,./merged_data/train/179.jpg,"(3, 846, 460)"
180.jpg,Adhered,./merged_data/train/180.jpg,"(3, 135, 143)"
181.jpg,Adhered,./merged_data/train/181.jpg,"(3, 235, 124)"
182.jpg,Adhered,./merged_data/train/182.jpg,"(3, 96, 116)"
183.jpg,Adhered,./merged_data/train/183.jpg,"(3, 707, 367)"
184.jpg,Adhered,./merged_data/train/184.jpg,"(3, 859, 643)"
185.jpg,Adhered,./merged_data/train/185.jpg,"(3, 369, 285)"
186.jpg,Adhered,./merged_data/train/186.jpg,"(3, 889, 712)"
187.jpg,Shingle,./merged_data/train/187.jpg,"(3, 746, 511)"
188.jpg,Shingle,./merged_data/train/188.jpg,"(3, 518, 409)"
189.jpg,Adhered,./merged_data/train/189.jpg,"(3, 614, 1075)"
190.jpg,Adhered,./merged_data/train/190.jpg,"(3, 326, 262)"
191.jpg,Adhered,./merged_data/train/191.jpg,"(3, 394, 143)"
192.jpg,Shingle,./merged_data/train/192.jpg,"(3, 131, 113)"
193.jpg,Adhered,./merged_data/train/193.jpg,"(3, 120, 69)"
194.jpg,Adhered,./merged_data/train/194.jpg,"(3, 166, 64)"
195.jpg,Adhered,./merged_data/train/195.jpg,"(3, 609, 436)"
196.jpg,Adhered,./merged_data/train/196.jpg,"(3, 102, 75)"
197.jpg,Adhered,./merged_data/train/197.jpg,"(3, 258, 485)"
198.jpg,Adhered,./merged_data/train/198.jpg,"(3, 850, 544)"
199.jpg,Adhered,./merged_data/train/199.jpg,"(3, 1061, 396)"
200.jpg,Ballasted,./merged_data/train/200.jpg,"(3, 810, 792)"
201.jpg,Adhered,./merged_data/train/201.jpg,"(3, 242, 155)"
202.jpg,Adhered,./merged_data/train/202.jpg,"(3, 485, 278)"
203.jpg,Adhered,./merged_data/train/203.jpg,"(3, 78, 93)"
204.jpg,Adhered,./merged_data/train/204.jpg,"(3, 765, 489)"
205.jpg,Adhered,./merged_data/train/205.jpg,"(3, 265, 195)"
206.jpg,Adhered,./merged_data/train/206.jpg,"(3, 654, 282)"
207.jpg,Adhered,./merged_data/train/207.jpg,"(3, 275, 458)"
208.jpg,Adhered,./merged_data/train/208.jpg,"(3, 375, 262)"
209.jpg,Steel,./merged_data/train/209.jpg,"(3, 336, 307)"
210.jpg,Steel,./merged_data/train/210.jpg,"(3, 332, 158)"
211.jpg,Adhered,./merged_data/train/211.jpg,"(3, 183, 69)"
212.jpg,Adhered,./merged_data/train/212.jpg,"(3, 373, 292)"
213.jpg,Adhered,./merged_data/train/213.jpg,"(3, 339, 496)"
214.jpg,Adhered,./merged_data/train/214.jpg,"(3, 52, 70)"
215.jpg,Adhered,./merged_data/train/215.jpg,"(3, 229, 229)"
216.jpg,Adhered,./merged_data/train/216.jpg,"(3, 157, 44)"
217.jpg,Adhered,./merged_data/train/217.jpg,"(3, 1045, 983)"
218.jpg,Adhered,./merged_data/train/218.jpg,"(3, 185, 183)"
219.jpg,Adhered,./merged_data/train/219.jpg,"(3, 251, 71)"
220.jpg,Adhered,./merged_data/train/220.jpg,"(3, 400, 370)"
221.jpg,Adhered,./merged_data/train/221.jpg,"(3, 639, 517)"
222.jpg,Adhered,./merged_data/train/222.jpg,"(3, 61, 127)"
223.jpg,Adhered,./merged_data/train/223.jpg,"(3, 89, 71)"
224.jpg,Adhered,./merged_data/train/224.jpg,"(3, 2590, 1129)"
225.jpg,Adhered,./merged_data/train/225.jpg,"(3, 180, 40)"
226.jpg,Concrete,./merged_data/train/226.jpg,"(3, 212, 163)"
227.jpg,Adhered,./merged_data/train/227.jpg,"(3, 826, 769)"
228.jpg,Adhered,./merged_data/train/228.jpg,"(3, 142, 235)"
229.jpg,Adhered,./merged_data/train/229.jpg,"(3, 166, 79)"
230.jpg,Concrete,./merged_data/train/230.jpg,"(3, 192, 124)"
231.jpg,Adhered,./merged_data/train/231.jpg,"(3, 168, 178)"
232.jpg,Adhered,./merged_data/train/232.jpg,"(3, 208, 144)"
233.jpg,Adhered,./merged_data/train/233.jpg,"(3, 251, 256)"
234.jpg,Adhered,./merged_data/train/234.jpg,"(3, 210, 224)"
235.jpg,Adhered,./merged_data/train/235.jpg,"(3, 351, 110)"
236.jpg,Adhered,./merged_data/train/236.jpg,"(3, 347, 316)"
237.jpg,Concrete,./merged_data/train/237.jpg,"(3, 97, 82)"
238.jpg,Adhered,./merged_data/train/238.jpg,"(3, 190, 43)"
239.jpg,Adhered,./merged_data/train/239.jpg,"(3, 45, 53)"
240.jpg,Adhered,./merged_data/train/240.jpg,"(3, 418, 134)"
241.jpg,Adhered,./merged_data/train/241.jpg,"(3, 172, 109)"
242.jpg,Adhered,./merged_data/train/242.jpg,"(3, 835, 463)"
243.jpg,Adhered,./merged_data/train/243.jpg,"(3, 92, 84)"
244.jpg,Adhered,./merged_data/train/244.jpg,"(3, 502, 316)"
245.jpg,Adhered,./merged_data/train/245.jpg,"(3, 179, 106)"
246.jpg,Adhered,./merged_data/train/246.jpg,"(3, 203, 108)"
247.jpg,Concrete,./merged_data/train/247.jpg,"(3, 391, 313)"
248.jpg,Adhered,./merged_data/train/248.jpg,"(3, 679, 646)"
249.jpg,Adhered,./merged_data/train/249.jpg,"(3, 54, 155)"
250.jpg,Concrete,./merged_data/train/250.jpg,"(3, 6, 3)"
251.jpg,Adhered,./merged_data/train/251.jpg,"(3, 1250, 1028)"
252.jpg,Adhered,./merged_data/train/252.jpg,"(3, 863, 610)"
253.jpg,Adhered,./merged_data/train/253.jpg,"(3, 256, 145)"
254.jpg,Adhered,./merged_data/train/254.jpg,"(3, 556, 321)"
255.jpg,Adhered,./merged_data/train/255.jpg,"(3, 98, 110)"
256.jpg,Adhered,./merged_data/train/256.jpg,"(3, 140, 137)"
257.jpg,Adhered,./merged_data/train/257.jpg,"(3, 151, 101)"
258.jpg,Adhered,./merged_data/train/258.jpg,"(3, 94, 109)"
259.jpg,Steel,./merged_data/train/259.jpg,"(3, 103, 84)"
260.jpg,Adhered,./merged_data/train/260.jpg,"(3, 177, 238)"
261.jpg,Adhered,./merged_data/train/261.jpg,"(3, 676, 619)"
262.jpg,Adhered,./merged_data/train/262.jpg,"(3, 859, 245)"
263.jpg,Shingle,./merged_data/train/263.jpg,"(3, 105, 69)"
264.jpg,Adhered,./merged_data/train/264.jpg,"(3, 328, 70)"
265.jpg,Adhered,./merged_data/train/265.jpg,"(3, 409, 326)"
266.jpg,Concrete,./merged_data/train/266.jpg,"(3, 3020, 1623)"
267.jpg,Concrete,./merged_data/train/267.jpg,"(3, 117, 107)"
268.jpg,Adhered,./merged_data/train/268.jpg,"(3, 245, 150)"
269.jpg,Steel,./merged_data/train/269.jpg,"(3, 198, 204)"
270.jpg,Adhered,./merged_data/train/270.jpg,"(3, 327, 123)"
271.jpg,Plastic & fabric,./merged_data/train/271.jpg,"(3, 102, 85)"
272.jpg,Concrete,./merged_data/train/272.jpg,"(3, 72, 44)"
273.jpg,Adhered,./merged_data/train/273.jpg,"(3, 280, 150)"
274.jpg,Adhered,./merged_data/train/274.jpg,"(3, 213, 273)"
275.jpg,Adhered,./merged_data/train/275.jpg,"(3, 95, 57)"
276.jpg,Adhered,./merged_data/train/276.jpg,"(3, 538, 292)"
277.jpg,Adhered,./merged_data/train/277.jpg,"(3, 461, 184)"
278.jpg,Adhered,./merged_data/train/278.jpg,"(3, 1356, 870)"
279.jpg,Adhered,./merged_data/train/279.jpg,"(3, 217, 273)"
280.jpg,Concrete,./merged_data/train/280.jpg,"(3, 397, 307)"
281.jpg,Adhered,./merged_data/train/281.jpg,"(3, 336, 71)"
282.jpg,Plastic & fabric,./merged_data/train/282.jpg,"(3, 122, 112)"
283.jpg,Concrete,./merged_data/train/283.jpg,"(3, 81, 72)"
284.jpg,Concrete,./merged_data/train/284.jpg,"(3, 94, 75)"
285.jpg,Concrete,./merged_data/train/285.jpg,"(3, 133, 152)"
286.jpg,Plastic & fabric,./merged_data/train/286.jpg,"(3, 132, 123)"
287.jpg,Steel,./merged_data/train/287.jpg,"(3, 219, 223)"
288.jpg,Plastic & fabric,./merged_data/train/288.jpg,"(3, 128, 112)"
289.jpg,Concrete,./merged_data/train/289.jpg,"(3, 116, 89)"
290.jpg,Concrete,./merged_data/train/290.jpg,"(3, 122, 90)"
291.jpg,Concrete,./merged_data/train/291.jpg,"(3, 129, 111)"
292.jpg,Concrete,./merged_data/train/292.jpg,"(3, 427, 290)"
293.jpg,Concrete,./merged_data/train/293.jpg,"(3, 114, 102)"
294.jpg,Adhered,./merged_data/train/294.jpg,"(3, 283, 177)"
295.jpg,Plastic & fabric,./merged_data/train/295.jpg,"(3, 156, 144)"
296.jpg,Concrete,./merged_data/train/296.jpg,"(3, 127, 88)"
297.jpg,Concrete,./merged_data/train/297.jpg,"(3, 77, 59)"
298.jpg,Concrete,./merged_data/train/298.jpg,"(3, 69, 64)"
299.jpg,Concrete,./merged_data/train/299.jpg,"(3, 91, 72)"
300.jpg,Concrete,./merged_data/train/300.jpg,"(3, 78, 71)"
301.jpg,Plastic & fabric,./merged_data/train/301.jpg,"(3, 140, 120)"
302.jpg,Concrete,./merged_data/train/302.jpg,"(3, 134, 141)"
303.jpg,Adhered,./merged_data/train/303.jpg,"(3, 716, 668)"
304.jpg,Concrete,./merged_data/train/304.jpg,"(3, 1220, 944)"
305.jpg,Adhered,./merged_data/train/305.jpg,"(3, 81, 66)"
306.jpg,Adhered,./merged_data/train/306.jpg,"(3, 320, 270)"
307.jpg,Adhered,./merged_data/train/307.jpg,"(3, 113, 89)"
308.jpg,Concrete,./merged_data/train/308.jpg,"(3, 83, 67)"
309.jpg,Adhered,./merged_data/train/309.jpg,"(3, 209, 150)"
310.jpg,Plastic & fabric,./merged_data/train/310.jpg,"(3, 144, 126)"
311.jpg,Adhered,./merged_data/train/311.jpg,"(3, 147, 95)"
312.jpg,Adhered,./merged_data/train/312.jpg,"(3, 84, 62)"
313.jpg,Concrete,./merged_data/train/313.jpg,"(3, 81, 61)"
314.jpg,Concrete,./merged_data/train/314.jpg,"(3, 146, 148)"
315.jpg,Plastic & fabric,./merged_data/train/315.jpg,"(3, 139, 115)"
316.jpg,Concrete,./merged_data/train/316.jpg,"(3, 291, 239)"
317.jpg,Concrete,./merged_data/train/317.jpg,"(3, 179, 163)"
318.jpg,Plastic & fabric,./merged_data/train/318.jpg,"(3, 136, 111)"
319.jpg,Concrete,./merged_data/train/319.jpg,"(3, 91, 75)"
320.jpg,Adhered,./merged_data/train/320.jpg,"(3, 76, 61)"
321.jpg,Plastic & fabric,./merged_data/train/321.jpg,"(3, 132, 116)"
322.jpg,Concrete,./merged_data/train/322.jpg,"(3, 92, 74)"
323.jpg,Plastic & fabric,./merged_data/train/323.jpg,"(3, 137, 114)"
324.jpg,Plastic & fabric,./merged_data/train/324.jpg,"(3, 132, 113)"
325.jpg,Concrete,./merged_data/train/325.jpg,"(3, 178, 164)"
326.jpg,Adhered,./merged_data/train/326.jpg,"(3, 100, 75)"
327.jpg,Concrete,./merged_data/train/327.jpg,"(3, 84, 67)"
328.jpg,Plastic & fabric,./merged_data/train/328.jpg,"(3, 121, 109)"
329.jpg,Adhered,./merged_data/train/329.jpg,"(3, 567, 265)"
330.jpg,Adhered,./merged_data/train/330.jpg,"(3, 80, 172)"
331.jpg,Ballasted,./merged_data/train/331.jpg,"(3, 1003, 698)"
332.jpg,Adhered,./merged_data/train/332.jpg,"(3, 575, 322)"
333.jpg,Adhered,./merged_data/train/333.jpg,"(3, 297, 231)"
334.jpg,Adhered,./merged_data/train/334.jpg,"(3, 245, 359)"
335.jpg,Adhered,./merged_data/train/335.jpg,"(3, 377, 316)"
336.jpg,Adhered,./merged_data/train/336.jpg,"(3, 771, 187)"
337.jpg,Adhered,./merged_data/train/337.jpg,"(3, 1475, 1082)"
338.jpg,Adhered,./merged_data/train/338.jpg,"(3, 1399, 1327)"
339.jpg,Adhered,./merged_data/train/339.jpg,"(3, 245, 160)"
340.jpg,Adhered,./merged_data/train/340.jpg,"(3, 1310, 597)"
341.jpg,Adhered,./merged_data/train/341.jpg,"(3, 133, 229)"
342.jpg,Adhered,./merged_data/train/342.jpg,"(3, 524, 781)"
343.jpg,Adhered,./merged_data/train/343.jpg,"(3, 796, 525)"
344.jpg,Adhered,./merged_data/train/344.jpg,"(3, 320, 243)"
345.jpg,Adhered,./merged_data/train/345.jpg,"(3, 180, 335)"
346.jpg,Adhered,./merged_data/train/346.jpg,"(3, 125, 50)"
347.jpg,Adhered,./merged_data/train/347.jpg,"(3, 742, 146)"
348.jpg,Adhered,./merged_data/train/348.jpg,"(3, 286, 329)"
349.jpg,Adhered,./merged_data/train/349.jpg,"(3, 642, 407)"
350.jpg,Adhered,./merged_data/train/350.jpg,"(3, 628, 337)"
351.jpg,Steel,./merged_data/train/351.jpg,"(3, 1337, 764)"
352.jpg,Adhered,./merged_data/train/352.jpg,"(3, 662, 853)"
353.jpg,Plastic & fabric,./merged_data/train/353.jpg,"(3, 860, 681)"
354.jpg,Plastic & fabric,./merged_data/train/354.jpg,"(3, 796, 630)"
355.jpg,Plastic & fabric,./merged_data/train/355.jpg,"(3, 803, 598)"
356.jpg,Plastic & fabric,./merged_data/train/356.jpg,"(3, 864, 678)"
357.jpg,Steel,./merged_data/train/357.jpg,"(3, 125, 167)"
358.jpg,Adhered,./merged_data/train/358.jpg,"(3, 752, 308)"
359.jpg,Adhered,./merged_data/train/359.jpg,"(3, 76, 52)"
360.jpg,Adhered,./merged_data/train/360.jpg,"(3, 103, 89)"
361.jpg,Adhered,./merged_data/train/361.jpg,"(3, 606, 511)"
362.jpg,Adhered,./merged_data/train/362.jpg,"(3, 62, 79)"
363.jpg,Adhered,./merged_data/train/363.jpg,"(3, 270, 72)"
364.jpg,Adhered,./merged_data/train/364.jpg,"(3, 868, 329)"
365.jpg,Plastic & fabric,./merged_data/train/365.jpg,"(3, 797, 624)"
366.jpg,Adhered,./merged_data/train/366.jpg,"(3, 977, 588)"
367.jpg,Adhered,./merged_data/train/367.jpg,"(3, 198, 160)"
368.jpg,Adhered,./merged_data/train/368.jpg,"(3, 324, 178)"
369.jpg,Adhered,./merged_data/train/369.jpg,"(3, 1423, 1137)"
370.jpg,Adhered,./merged_data/train/370.jpg,"(3, 694, 521)"
371.jpg,Adhered,./merged_data/train/371.jpg,"(3, 815, 645)"
